"Unemployment Rates for Metropolitan Areas, Not Seasonally Adjusted",,
Metropolitan area,July 2019(P),Rank
,rate,
"Killeen-Temple, TX Metropolitan Statistical Area",4,198
"Laredo, TX Metropolitan Statistical Area",4,198
"Lebanon, PA Metropolitan Statistical Area",4,198
"Lexington-Fayette, KY Metropolitan Statistical Area",4,198
"Longview, TX Metropolitan Statistical Area",4,198
"Port St. Lucie, FL Metropolitan Statistical Area",4,198
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",4,198
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",4,198
"Salisbury, MD-DE Metropolitan Statistical Area",4,198
"Wenatchee, WA Metropolitan Statistical Area",4,198
"Wichita, KS Metropolitan Statistical Area",4,198
"Wilmington, NC Metropolitan Statistical Area",4,198
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",4.1,218
"Bloomington, IL Metropolitan Statistical Area",4.1,218
"Carson City, NV Metropolitan Statistical Area",4.1,218
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",4.1,218
"Duluth, MN-WI Metropolitan Statistical Area",4.1,218
"El Paso, TX Metropolitan Statistical Area",4.1,218
"Hot Springs, AR Metropolitan Statistical Area",4.1,218
"Lakeland-Winter Haven, FL Metropolitan Statistical Area",4.1,218
"Macon-Bibb County, GA Metropolitan Statistical Area",4.1,218
"Ocala, FL Metropolitan Statistical Area",4.1,218
"Rochester, NY Metropolitan Statistical Area",4.1,218
"Syracuse, NY Metropolitan Statistical Area",4.1,218
"Ann Arbor, MI Metropolitan Statistical Area",4.2,230
"California-Lexington Park, MD Metropolitan Statistical Area",4.2,230
"Carbondale-Marion, IL Metropolitan Statistical Area",4.2,230
"Champaign-Urbana, IL Metropolitan Statistical Area",4.2,230
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",4.2,230
"Elmira, NY Metropolitan Statistical Area",4.2,230
"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",4.2,230
"Hinesville, GA Metropolitan Statistical Area",4.2,230
"Knoxville, TN Metropolitan Statistical Area",4.2,230
"Lake Charles, LA Metropolitan Statistical Area",4.2,230
"New Bedford, MA Metropolitan NECTA",4.2,230
"Sebastian-Vero Beach, FL Metropolitan Statistical Area",4.2,230
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",4.2,230
"Utica-Rome, NY Metropolitan Statistical Area",4.2,230
"Vallejo-Fairfield, CA Metropolitan Statistical Area",4.2,230
"Winston-Salem, NC Metropolitan Statistical Area",4.2,230
"York-Hanover, PA Metropolitan Statistical Area",4.2,230
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",4.3,247
"Jackson, TN Metropolitan Statistical Area",4.3,247
"Michigan City-La Porte, IN Metropolitan Statistical Area",4.3,247
"Muncie, IN Metropolitan Statistical Area",4.3,247
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",4.3,247
"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",4.3,247
"Albany, GA Metropolitan Statistical Area",4.4,253
"Burlington, NC Metropolitan Statistical Area",4.4,253
"Columbus, GA-AL Metropolitan Statistical Area",4.4,253
"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",4.4,253
"Pueblo, CO Metropolitan Statistical Area",4.4,253
"Racine, WI Metropolitan Statistical Area",4.4,253
"Terre Haute, IN Metropolitan Statistical Area",4.4,253
"Waterbury, CT Metropolitan NECTA",4.4,253
