,Metropolitan Areas,GDP 2017
312,"San Jose-Sunnyvale-Santa Clara, CA","256,419"
313,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","13,010"
314,"Santa Cruz-Watsonville, CA","11,481"
315,"Santa Fe, NM","6,223"
316,"Santa Maria-Santa Barbara, CA","22,938"
317,"Santa Rosa, CA","24,985"
318,"Savannah, GA","15,652"
319,"Scranton--Wilkes-Barre--Hazleton, PA","20,782"
320,"Seattle-Tacoma-Bellevue, WA","312,587"
321,"Sebastian-Vero Beach, FL","4,709"
322,"Sebring, FL","1,810"
323,"Sheboygan, WI","5,878"
324,"Sherman-Denison, TX","3,933"
325,"Shreveport-Bossier City, LA","20,198"
326,"Sierra Vista-Douglas, AZ","3,511"
327,"Sioux City, IA-NE-SD","8,454"
328,"Sioux Falls, SD","16,016"
329,"South Bend-Mishawaka, IN-MI","12,231"
330,"Spartanburg, SC","13,794"
331,"Spokane-Spokane Valley, WA","21,999"
332,"Springfield, IL","8,812"
333,"Springfield, MA","24,050"
334,"Springfield, MO","16,863"
335,"Springfield, OH","3,914"
336,"State College, PA","8,091"
337,"Staunton-Waynesboro, VA","4,449"
338,"Stockton-Lodi, CA","23,556"
339,"Sumter, SC","3,367"
340,"Syracuse, NY","29,234"
341,"Tallahassee, FL","13,834"
342,"Tampa-St. Petersburg-Clearwater, FL","127,432"
343,"Terre Haute, IN","5,626"
344,"Texarkana, TX-AR","4,641"
345,"The Villages, FL","2,416"
346,"Toledo, OH","28,300"
347,"Topeka, KS","9,205"
348,"Trenton, NJ","25,759"
349,"Tucson, AZ","33,841"
350,"Tulsa, OK","54,921"
351,"Tuscaloosa, AL","10,198"
352,"Twin Falls, ID","3,669"
353,"Tyler, TX","14,594"
354,"Urban Honolulu, HI","57,861"
355,"Utica-Rome, NY","9,537"
356,"Valdosta, GA","4,378"
357,"Vallejo-Fairfield, CA","17,818"
358,"Victoria, TX","4,545"
359,"Vineland-Bridgeton, NJ","4,988"
360,"Virginia Beach-Norfolk-Newport News, VA-NC","81,821"
361,"Visalia-Porterville, CA","13,582"
362,"Waco, TX","10,676"
363,"Walla Walla, WA","2,481"
364,"Warner Robins, GA","6,106"
365,"Washington-Arlington-Alexandria, DC-VA-MD-WV","460,026"
366,"Waterloo-Cedar Falls, IA","8,609"
367,"Watertown-Fort Drum, NY","5,172"
368,"Wausau, WI","7,119"
369,"Weirton-Steubenville, WV-OH","3,703"
370,"Wenatchee, WA","4,563"
371,"Wheeling, WV-OH","7,130"
372,"Wichita, KS","29,610"
373,"Wichita Falls, TX","6,483"
374,"Williamsport, PA","4,386"
375,"Wilmington, NC","12,203"
376,"Winchester, VA-WV","5,833"
377,"Winston-Salem, NC","25,263"
378,"Worcester, MA-CT","38,197"
379,"Yakima, WA","8,420"
380,"York-Hanover, PA","16,900"
381,"Youngstown-Warren-Boardman, OH-PA","17,258"
382,"Yuba City, CA","5,105"
383,"Yuma, AZ","6,175"
