,Metropolitan Areas,GDP 2017,Unemployment Rate Jul 2017,Quarterly Income,Total Income,Avg Income,% Households with Internet,Pop Est Jul 2018
87,"Danville, IL","2,501",5.4,"1,359","275,116,650",801,,76806.0
769,"Danville, KY",,,,,,,54744.0
770,"Danville, VA",,,,,,,101642.0
88,"Daphne-Fairhope-Foley, AL","6,302",2.5,"6,328","682,223,369",696,,218022.0
566,"Davenport, IA",,,,,,73.30%,
89,"Davenport-Moline-Rock Island, IA-IL","17,440",3.9,"9,904","2,133,873,485",900,,381451.0
90,"Dayton, OH","35,397",4.5,"17,802","4,427,395,842",916,65.80%,806548.0
771,"Dayton, TN",,,,,,,33044.0
776,"DeRidder, LA",,,,,,,37253.0
91,"Decatur, AL","4,654",2.7,"3,233","576,121,127",826,,152046.0
92,"Decatur, IL","5,315",5.4,"2,181","616,462,734",954,,104712.0
772,"Decatur, IN",,,,,,,35636.0
773,"Defiance, OH",,,,,,,38165.0
774,"Del Rio, TX",,,,,,,49208.0
93,"Deltona-Daytona Beach-Ormond Beach, FL","14,888",3.7,"17,027","1,864,891,390",735,,659605.0
775,"Deming, NM",,,,,,,23963.0
446,"Denton, TX",,,,,,87.30%,
502,"Denver, CO",,,,,,80.80%,
94,"Denver-Aurora-Lakewood, CO","185,942",2.7,"105,392","23,432,376,277","1,206",,2932415.0
547,"Des Moines, IA",,,,,,76.30%,
95,"Des Moines-West Des Moines, IA","49,031",2.6,"22,288","4,875,986,432","1,020",,655409.0
605,"Detroit, MI",,,,,,60.10%,
618,"Detroit-Dearborn-Livonia, MI Metro Division",,,,,,,1753893.0
96,"Detroit-Warren-Dearborn, MI","228,069",5.3,"98,917","27,329,195,122","1,091",,4326442.0
777,"Dickinson, ND",,,,,,,30997.0
778,"Dixon, IL",,,,,,,34223.0
779,"Dodge City, KS",,,,,,,33888.0
97,"Dothan, AL","4,635",3.0,"3,799","580,742,042",792,,148245.0
780,"Douglas, GA",,,,,,,43093.0
98,"Dover, DE","6,264",4.5,"4,272","734,963,255",852,,178550.0
510,"Downey, CA",,,,,,80.10%,
782,"DuBois, PA",,,,,,,79388.0
781,"Dublin, GA",,,,,,,57033.0
99,"Dubuque, IA","5,304",2.4,"3,323","645,430,741",842,,96854.0
100,"Duluth, MN-WI","11,564",4.1,"7,293","1,446,175,535",870,,278799.0
783,"Dumas, TX",,,,,,,21485.0
784,"Duncan, OK",,,,,,,43265.0
785,"Dunn, NC",,,,,,,134214.0
786,"Durango, CO",,,,,,,56310.0
787,"Durant, OK",,,,,,,47192.0
464,"Durham, NC",,,,,,85%,
101,"Durham-Chapel Hill, NC","37,278",3.9,"14,629","4,723,936,466","1,197",,575412.0
626,"Dutchess County-Putnam County, NY Metro Division",,,,,,,392610.0
788,"Dyersburg, TN",,,,,,,37320.0
789,"Eagle Pass, TX",,,,,,,58485.0
102,"East Stroudsburg, PA","5,311",5.4,"3,536","602,996,863",807,,169507.0
790,"Easton, MD",,,,,,,36968.0
103,"Eau Claire, WI","7,486",3.3,"4,538","905,694,721",837,,168669.0
791,"Edwards, CO",,,,,,,54993.0
792,"Effingham, IL",,,,,,,34208.0
480,"El Cajon, CA",,,,,,83.60%,
793,"El Campo, TX",,,,,,,41619.0
104,"El Centro, CA","5,137",20.7,"7,588","614,931,107",787,,181827.0
794,"El Dorado, AR",,,,,,,39126.0
606,"El Monte, CA",,,,,,58%,
108,"El Paso, TX","25,332",4.1,"15,507","2,929,595,436",737,71.30%,845553.0
458,"Elgin, IL",,,,,,85.30%,
613,"Elgin, IL Metro Division",,,,,,,638359.0
795,"Elizabeth City, NC",,,,,,,63771.0
570,"Elizabeth, NJ",,,,,,72.50%,
105,"Elizabethtown-Fort Knox, KY","5,444",5.0,"3,524","559,455,462",805,,153378.0
796,"Elk City, OK",,,,,,,21709.0
418,"Elk Grove, CA",,,,,,90.10%,
106,"Elkhart-Goshen, IN","15,200",3.6,"4,755","1,587,558,777",887,,205560.0
797,"Elkins, WV",,,,,,,28823.0
798,"Elko, NV",,,,,,,54463.0
799,"Ellensburg, WA",,,,,,,47364.0
107,"Elmira, NY","2,913",4.2,"1,930","397,296,791",881,,84254.0
800,"Emporia, KS",,,,,,,33406.0
109,"Enid, OK","2,986",3.1,,,,,60913.0
801,"Enterprise, AL",,,,,,,51909.0
110,"Erie, PA","9,678",4.7,"6,871","1,265,376,090",792,70.10%,272061.0
802,"Escanaba, MI",,,,,,,35857.0
540,"Escondido, CA",,,,,,77.20%,
803,"Española, NM",,,,,,,39006.0
804,"Eufaula, AL-GA",,,,,,,27160.0
111,"Eugene, OR","13,643",4.6,"12,451","1,679,219,626",827,87.30%,379611.0
805,"Eureka-Arcata-Fortuna, CA",,,,,,,136373.0
806,"Evanston, WY",,,,,,,20299.0
597,"Evansville, IN",,,,,,64.70%,
112,"Evansville, IN-KY","15,326",3.4,"7,625","1,709,604,617",854,,314672.0
525,"Everett, WA",,,,,,78.40%,
113,"Fairbanks, AK","4,736",4.8,"2,293","519,140,814","1,052",,98971.0
473,"Fairfield, CA",,,,,,84.40%,
807,"Fairfield, IA",,,,,,,18381.0
808,"Fairmont, MN",,,,,,,19785.0
809,"Fairmont, WV",,,,,,,56097.0
810,"Fallon, NV",,,,,,,24440.0
466,"Fargo, ND",,,,,,84.80%,
114,"Fargo, ND-MN","14,015",2.2,"8,822","1,667,571,557",930,,245471.0
811,"Faribault-Northfield, MN",,,,,,,66523.0
812,"Farmington, MO",,,,,,,66692.0
115,"Farmington, NM","6,134",6.6,"2,949","515,142,105",846,,125043.0
116,"Fayetteville, NC","14,992",5.8,"6,629","1,335,358,563",817,81.30%,387094.0
117,"Fayetteville-Springdale-Rogers, AR-MO","25,341",2.8,"13,389","2,752,433,643",897,,549128.0
813,"Fergus Falls, MN",,,,,,,58812.0
814,"Fernley, NV",,,,,,,55808.0
815,"Findlay, OH",,,,,,,75930.0
816,"Fitzgerald, GA",,,,,,,16787.0
118,"Flagstaff, AZ","5,017",6.5,"3,398","699,171,301",849,,142854.0
119,"Flint, MI","11,955",6.1,"6,926","1,505,615,154",860,,406892.0
120,"Florence, SC","7,432",3.6,"4,260","842,205,144",766,,204961.0
121,"Florence-Muscle Shoals, AL","4,346",3.7,"3,412","514,698,307",741,,147149.0
122,"Fond du Lac, WI","4,388",3.2,"2,407","544,768,788",882,,103066.0
455,"Fontana, CA",,,,,,85.70%,
817,"Forest City, NC",,,,,,,66826.0
818,"Forrest City, AR",,,,,,,25439.0
123,"Fort Collins, CO","15,073",2.3,"12,534","2,068,686,915",965,91.40%,350518.0
819,"Fort Dodge, IA",,,,,,,36277.0
530,"Fort Lauderdale, FL",,,,,,78.10%,
623,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metro Division",,,,,,,1951260.0
820,"Fort Leonard Wood, MO",,,,,,,52014.0
821,"Fort Madison-Keokuk, IA-IL-MO",,,,,,,58741.0
822,"Fort Morgan, CO",,,,,,,28558.0
823,"Fort Payne, AL",,,,,,,71385.0
824,"Fort Polk South, LA",,,,,,,48860.0
124,"Fort Smith, AR-OK","8,914",3.9,"6,625","1,025,434,129",749,,282318.0
125,"Fort Wayne, IN","19,786",3.4,"10,218","2,317,055,522",842,77.80%,437631.0
527,"Fort Worth, TX",,,,,,78.20%,
617,"Fort Worth-Arlington, TX Metro Division",,,,,,,2532521.0
825,"Frankfort, IN",,,,,,,32250.0
826,"Frankfort, KY",,,,,,,73478.0
827,"Fredericksburg, TX",,,,,,,26804.0
828,"Freeport, IL",,,,,,,44753.0
415,"Fremont, CA",,,,,,90.70%,
829,"Fremont, NE",,,,,,,36791.0
830,"Fremont, OH",,,,,,,58799.0
126,"Fresno, CA","35,866",7.3,"36,501","4,260,333,934",825,73%,994400.0
394,"Frisco, TX",,,,,,94.70%,
431,"Fullerton, CA",,,,,,88.60%,
