State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Households with Internet,Households with Just Cell Data Plan,Households with DSL or Fiber Optic,Households with Broadband Any Type,Households with Celular Data Plan,Households with Just DSL or Fiber Optic,Households with Satellite Internet,Households with Just Satellite Internet,Households with No Internet
17,"Stephenson County, Illinois",45839.0,44.7,46427.0,25792.0,7254.0,15.824952551320928,4.055498592901241,19604.0,2605.0,10204.0,14774.0,9387.0,4269.0,1899.0,714.0,4167.0
17,"Wayne County, Illinois",16569.0,43.4,46405.0,25046.0,2594.0,15.65574265194037,2.2149797815197054,7117.0,856.0,3301.0,4586.0,2674.0,1539.0,498.0,228.0,2221.0
17,"White County, Illinois",14186.0,43.8,46279.0,26522.0,1911.0,13.471027773861554,3.764274636966023,6144.0,872.0,2958.0,4372.0,2887.0,1200.0,472.0,182.0,1504.0
17,"Woodford County, Illinois",38942.0,39.9,69507.0,34198.0,2793.0,7.17220481742078,2.370191566945714,14547.0,1371.0,9196.0,11492.0,7694.0,3278.0,1155.0,365.0,2480.0
17,"Franklin County, Illinois",39302.0,42.3,39454.0,22346.0,7635.0,19.42649229046868,3.847132461452343,16346.0,1707.0,7658.0,10605.0,6561.0,3322.0,1329.0,543.0,5096.0
17,"Henderson County, Illinois",6927.0,49.2,47428.0,27949.0,774.0,11.173668254655695,3.0749242096145517,3019.0,340.0,1547.0,2116.0,1291.0,688.0,262.0,100.0,827.0
17,"McDonough County, Illinois",31597.0,31.3,42911.0,22527.0,6212.0,19.66009431275121,4.117479507548185,11481.0,731.0,7353.0,8348.0,4696.0,3376.0,426.0,59.0,2413.0
17,"McHenry County, Illinois",308043.0,39.9,82230.0,36208.0,22339.0,7.251909635992377,2.9930886272371064,110860.0,7431.0,85890.0,98560.0,71732.0,24153.0,6717.0,1450.0,9804.0
17,"McLean County, Illinois",173231.0,32.7,64573.0,32943.0,24110.0,13.917832258660402,2.137608164820384,66070.0,4726.0,46540.0,53007.0,29887.0,21791.0,2735.0,712.0,9000.0
17,"Moultrie County, Illinois",14711.0,39.9,53979.0,26166.0,1740.0,11.827883896404051,1.447896132146013,5856.0,659.0,2948.0,4037.0,2413.0,1385.0,464.0,168.0,1575.0
17,"Perry County, Illinois",21467.0,41.8,45864.0,23929.0,2766.0,12.884893091722178,2.7623794661573577,8223.0,1256.0,3820.0,5635.0,3381.0,1982.0,640.0,194.0,2231.0
17,"Pike County, Illinois",15930.0,42.4,41387.0,23218.0,2281.0,14.318895166352794,3.1261770244821094,6629.0,719.0,2686.0,4220.0,2255.0,1327.0,909.0,454.0,2033.0
17,"Pope County, Illinois",4360.0,52.2,41139.0,22191.0,531.0,12.178899082568808,3.05045871559633,1639.0,174.0,656.0,921.0,555.0,299.0,100.0,18.0,645.0
